It is illegal for any person under the age of 16 to buy a Lottery ticket,16歲以下的任何人購買彩票都是非法的
She gave her throne to Elizabeth I,她把她的寶座帶到了伊麗莎白
New citizens _____ loyalty to the Queen as part of the citizenship ceremony. (Choose 2 answers),作為公民儀式的一部分，新公民對女王的忠誠。 （選擇2個答案）
Mumbai,孟買
Shop for fresh products only,僅購買新鮮產品
1833,1833年
The Mercury Prize,水星獎
Boudicca,布迪卡
Which of these TWO lines from Shakespeare's plays and poems are often still quoted?,莎士比亞的劇本和詩歌中的這兩條台詞中的哪一條經常被引用？
Who directed the two British films 'Brief Encounter' and 'Lawrence of Arabia'?,誰導演了兩部英國電影“短暫的相遇”和“阿拉伯的勞倫斯”？
What is the responsibility that you have as a UK citizen?,您作為英國公民有什麼責任？
First past the post,第一篇文章
"In the 1830s and 1840s, a group called the Chartists campaigned for every woman to have a vote",在1830年代和1840年代，一個名為Chartists的小組競選每個女人進行投票
St Augustine,聖奧古斯丁
The O2,O2
Spitfire,噴火
Washing your head with soap,用肥皂洗頭
Rugby,橄欖球
Romeo and Juliet,羅密歐與朱麗葉
The Queen is responsible for the opening of the new parliamentary session each year,女王每年負責新議會會議的開幕
In Northern Ireland some people speak Irish Gaelic,在北愛爾蘭，有些人會說愛爾蘭蓋爾語
Which Monarch entered the House of Commons to arrest 5 parliamentary leaders?,哪個君主進入下議院逮捕5位議會領導人？
Select TWO famous Paralympians,選擇兩個著名的殘奧會
The Laurence Olivier Awards,勞倫斯·奧利維爾獎
Voters in each constituency elect their member of Parliament (MP) in a General Election.,每個選區的選民在大選中選舉其議會議員（MP）。
Political parties,政黨
Edinburgh,愛丁堡
"In the 2009 Citizenship Survey, what percentage of people identified themselves as Christian?",在2009年的《公民身份調查》中，有多少比例的人將自己確定為基督徒？
Who designed the Cenotaph?,誰設計了Cenotaph？
Where are the most serious criminal cases in Scotland heard at?,蘇格蘭最嚴重的刑事案件在哪裡？
The UK registry,英國註冊表
Northern Ireland makes up 4% of the total population,北愛爾蘭佔總人口的4％
1 hour,1小時
What UK landmark was voted as Britain's favourite view?,哪個英國地標被選為英國最喜歡的觀點？
When was the first public film shown in the UK?,什麼時候在英國放映的第一部公開電影是什麼時候？
116 years,116年
"In Northern Ireland, minor cases are heard by a District Judge or Deputy District Judge, who is legally qualified and paid",在北愛爾蘭，地方法院法官或副地方法官審理了次要案件，他們具有法律資格並支付
Hadrian's Wall,哈德良長城
Under which king did the people unite to defeat the Vikings?,在哪個國王下，人們團結起來擊敗維京人？
Agricultural,農業
Non-Christians,非基督徒
What did the 'Bill of Rights” confirm?,“權利法案”證實了什麼？
1779,1779年
Must belong to a political party,必須屬於一個政黨
Which of these flowers is closely associated with Remembrance Day?,這些花與紀念日密切相關？
What are the MPs who don't represent a political party called?,不代表政黨的國會議員是什麼？
Which TWO are used in making an Ulster fry?,用哪兩個用於製作烏爾斯特炸？
£50,£50
TRUE,真的
One fifth,五分之一
Sissinghurst,Sissinghurst
Theatres and Houses,劇院和房屋
Deaf people,聾人
Sentence is decided by the jury,句子由陪審團決定
"Protestant ideas gradually gained strength in England, Wales and Scotland during what century?",在哪個世紀，新教思想在英格蘭，威爾士和蘇格蘭逐漸獲得力量？
The burial place of one of the kings was at Sutton Hoo in modern Suffolk,其中一個國王的葬禮在現代薩福克的薩頓侯
He was William of Orange before he became King William III of England. Wales and Ireland,在成為英格蘭國王威廉三世之前，他是奧蘭治的威廉。威爾士和愛爾蘭
The right to vote for the women,為婦女投票的權利
Freedom of belief and religion,信仰和宗教自由
Henry VII,亨利七世
1707,1707年
gets ill,生病
Iron Age,鐵器時代
What is the main purpose of the Opposition?,反對派的主要目的是什麼？
"What can be done to protect a person from being forced into a marriage, or to protect a person in a forced marriage?",可以採取什麼措施來保護一個人免於被迫婚姻或在強迫婚姻中保護一個人？
Who is the next heir to the throne?,誰是王位的下一個繼承人？
61000,61000
Catherine Parr and Anne of Cleves,凱瑟琳·帕爾（Catherine Parr）和克萊夫斯的安妮
What does the UN aim to do?,聯合國的目標是做什麼？
Pancake Day,煎餅日
Where can you get help from if you are facing domestic violence?,如果您面臨家庭暴力，您可以在哪裡獲得幫助？
Christopher Dean,克里斯托弗·迪恩（Christopher Dean）
Marston Moor,馬斯頓·摩爾（Marston Moor）
Jayne Seymour,傑恩·西摩（Jayne Seymour）
Who invented the Jet Engine?,誰發明了噴氣發動機？
What is an example of the Middle Ages architecture?,中世紀建築的一個例子是什麼？
Schools and Education,學校和教育
Choose TWO examples of a civil law offence,選擇兩個民法犯罪的例子
Sense and Sensibility,理智與情感
Clans lost a lot of their power and influence after which event?,氏族失去了很多事件之後的力量和影響力？
Clement Atlee,克萊門特·阿特利
10:00,10:00
Ulster fry is a traditional food of which country?,阿爾斯特·弗萊（Ulster Fry）是哪個國家的傳統食物？
During Queen Elizabeth I's reign the English (1588) defeated a large fleet of ships. Where did the ships come from?,在伊麗莎白女王期間，我統治著英國人（1588年）擊敗了一大船。船從何而來？
Near Suffolk,在薩福克附近
How many people lost their lives in the decades after 1969 due to violence in Northern Ireland?,由於北愛爾蘭的暴力事件，有多少人在1969年後的幾十年中喪生？
16:00,16:00
Which language was spoken by people during the Iron Age?,鐵器時代的人們說哪種語言？
1957,1957年
Before the Dawn,黎明前
resigns,辭職
"Where can you visit Admiral Nelson's ship , HMS Victory?",您在哪裡可以參觀尼爾森海軍上將的HMS勝利？
The role and membership of the House of Lords has changed over the last 50 years,在過去的50年中，上議院的角色和會員資格發生了變化
Russia,俄羅斯
"In 1485, a civil war was begun to decide who should be king of England. It was fought between the supporters of two families: the House of Lancaster and the House of York.",1485年，內戰開始決定誰應該是英格蘭國王。它是在兩個家庭的支持者之間進行的：蘭開斯特之家和約克之家。
Senedd,senedd
Your local MP,您當地的國會議員
1950's,1950年代
